Classification;Rule;3.14;3.7.1;SWP;Equivalent to;Part of;Contains;Opposite of;SonarQube-Tags
major;'Strings should not be concatenated using ''+'' in a loop';X;X;;;;;;Java, performance
critical;Struts validation forms should have unique names;X;;;;;;;Java, bug, cwe, struts
major;Subclasses that add fields should override "equals";X;X;;;;;;Java, suspicious
blocker;super.finalize() should be called at the end of Object.finalize() implementations;X;X;;;;;;Java, bug, cert, cwe
major;Switch cases should end with an unconditional "break" statement;X;X;;;;EJS-078;;Java, cert, cwe, misra, suspicious
blocker;Synchronization should not be based on Strings or boxed primitives;X;X;;;;;;Java, bug, cert, multi-threading
major;Synchronized classes Vector, Hashtable, Stack and StringBuffer should not be used;X;X;;;;;;Java, multi-threading, performance
minor;Tabulation characters should not be used;X;X;;EJS-008;;;;Java, convention
major;TestCases should contain tests;X;X;;;;;;Java, confusing, tests, unused
critical;Tests should include assertions;X;X;;;;;;Java, tests
major;Tests should not be ignored;X;;;;;;;Java, suspicious, tests
info;The @SuppressWarnings annotation should not be used;X;X;;;;;;Java
critical;The Array.equals(Object obj) method should not be used;X;X;;;;;;DEPRECATED, Java, bug
